page_id,title,country_of_origin
8283,Ruyonga,Uganda
8284,Sandra Suubi,Uganda
8288,Ali Kimera,Uganda
8289,Abu Mayanja,Uganda
8290,Kataleya ne Kandle,Uganda
8293,Desire Luzinda,Uganda
8294,Grace Ibingira,Uganda
8295,Mariam Ndagire,Uganda
8296,Kizza Besigye,Uganda
8299,Judith Babirye,Uganda
8304,Sylver Kyagulanyi,Uganda
8305,Radio Muhabura,Rwanda
8308,User:Emmanuel Ssekaggo,Uganda
8309,Ken Lukyamuzi,Uganda
8310,Ekisaawe kya Nakivubo,Uganda
8315,National Unity Platform,Uganda
8323,Ekisaawe ky'eggwanga ekya Mandela,Uganda
8325,Moses Golola,Uganda
8326,Charles Peter Mayiga,Uganda
8330,Wilson Bugembe,Uganda
8335,Ruhakana Ruganda,Uganda
8336,Philly Bongole Lutaaya,Uganda
8337,Apolo Nsibambi,Uganda
8338,Sophie Gombya,Uganda
8344,Paul Ssemogerere,Uganda
8346,Sandra Nankoma,Uganda
8347,Shafik Batambuze,Uganda
8349,Giosue Bellagambi,Uganda
8351,Rolling Stone (Uganda),Uganda
8355,Kintu Musoke,Uganda
8356,AK 47 Mayanja,Uganda
8358,GNL Zamba,Uganda
8368,John Ssebaana Kizito,Uganda
8371,Norbert Mao,Uganda
8374,Samuel Wako Wambuzi,Uganda
8376,Sheebah Karungi,Uganda
8377,Steven Kavuma,Uganda
8378,Bart Magunda Katureebe,Uganda
8379,Allan Toniks,Uganda
8380,Alfonse Owiny-Dollo,Uganda
8382,Goodlyfe Crew,Uganda
8383,Patrick Amuriat,Uganda
8386,John Babiiha,Uganda
8387,Eddy Kenzo,Uganda
8388,Aloysius Bugingo,Uganda
8399,Anne Kansiime,Uganda
8400,Savio Kabugo,Uganda
8401,Ettoffaali,Uganda
8403,Andrew Kayiira,Uganda
8404,Holy Keane Amooti,Uganda
8405,Aziz Azion,Uganda
8406,Iryn Namubiru,Uganda
8407,Sam Bagenda,Uganda
8408,Papa Cidy,Uganda
8414,Bebe Cool,Uganda
8417,Ragga Dee,Uganda
8418,DJ Mavious,Uganda
8419,Canary Mugume,Uganda
8422,"Fort Lugard, Kampala",Uganda
8424,Omuzikiti gwa Uganda National Mosque,Uganda
8434,Fresh Kid,Uganda
8437,Gabriel K,Uganda
8438,Sam Gombya,Uganda
8442,Beenie Gunter,Uganda
8445,Maurice Kirya,Uganda
8446,Majid Musisi,Uganda
8447,David Lutalo,Uganda
8450,Moses Matovu,Uganda
8451,Peter Miles (omuyimbi),Uganda
8452,Benon Mugumbya,Uganda
8454,Haka Mukiga,Uganda
8455,Benjamin Josses Odoki,Uganda
8458,Herman Wasswa,Uganda
8463,Patrick Mangeni,Uganda
8467,Suzan Kerunen,Uganda
8471,Grace Nakimera,Uganda
8473,Godfrey Walusimbi,Uganda
8484,Sam Ssimbwa,Uganda
8485,Robert Ssejjemba,Uganda
8488,Samalie Matovu,Uganda
8490,Moses Nsereko,Uganda
8492,Irene Ajambo,Uganda
8493,Godfrey Baligeya,Uganda
8495,James Onen,Uganda
8496,Yunus Sentamu,Uganda
8497,Richard Kasagga,Uganda
8500,Asuman Basalirwa,Uganda
8502,Joseph Ochaya,Uganda
8504,Isaac Muleme,Uganda
8505,Peter Odeke,Uganda
8506,Alex Onzima,Uganda
8507,Aisha Kyomuhangi,Uganda
8509,Geofrey Massa,Uganda
8510,Frank Kalanda,Uganda
8513,Eugene Sseppuya,Uganda
8518,Denis Onyango,Uganda
8519,Robert Kakeeto,Uganda
8520,Afrigo Band,Uganda
8521,Vincent Kayizzi,Uganda
8522,Brian Majwega,Uganda
8523,Tony Mawejje,Uganda
8524,Hamza Muwonge,Uganda
8525,Doreen Mirembe,Uganda
8526,Aggrey Awori,Uganda
8528,Miria Matembe,Uganda
8530,Fahad Bayo,Uganda
8531,Stephen Bengo,Uganda
8532,James Nsaba Buturo,Uganda
8533,Ivan Bukenya,Uganda
8534,Dan Wagaluka,Uganda
8535,Moses Waiswa,Uganda
8536,Rose Mbowa,Uganda
8537,Innocent Wafula,Uganda
8539,Brian Umony,Uganda
8541,Muhammad Shaban,Uganda
8542,Postnet Omony,Uganda
8544,Teacher Mpamire,Uganda
8545,Richard Sseruwagi,Uganda
9047,Eggye lya Uganda People's Defense Force,Uganda
9600,Acen Rhoda,Uganda
9601,Adrian Tibaleka,Uganda
9604,Ajilo Elogu Maria Goretti,Uganda
9605,Agnes Akiror,Uganda
9607,Betty Kizza,Uganda
9608,Agnes Ameede,Uganda
9614,Florence Namayanja,Uganda
